Year,PCOD_BIO,BENINVERT_BIO,PROP_CP,BOT_TEMP,RKC_MALERECRUIT_BIO,RKC_MALELEGAL_BIO,PDO,WIND_STRESS,CHL_A,MALE_LW_RESID,SALMON_ABUN,CATCH_AREA,CATCH_DISTSHORE,RKC_MIEW
1980,NA,NA,NA,NA,33352.25471,106655.0931,0.515791257,NA,NA,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,23114.23108,27367.63562,0.917469893,NA,NA,NA,NA,NA,NA,NA
1982,354,790.4536179,30075,1.795454545,22853.7047,10183.75448,0.231149385,NA,NA,NA,NA,NA,NA,NA
1983,443,667.523828,6416,3.511851852,12919.99254,2866.819344,0.551691817,NA,NA,NA,NA,NA,NA,NA
1984,358,878.2264116,16040,2.97751938,19071.78103,7623.1767,1.242487555,NA,NA,NA,NA,NA,NA,NA
1985,322,563.36545,9624,3.073109244,13543.15742,5356.498822,0.551665331,NA,NA,NA,NA,NA,NA,NA
1986,376,632.8110593,22456,2.16484375,20889.4743,13032.68881,0.67517608,NA,NA,NA,NA,NA,NA,NA
1987,392,1184.28768,0,3.693939394,17245.91282,18166.66021,1.586316878,NA,NA,NA,NA,NA,NA,NA
1988,394,1223.807528,15639,2.702272727,10135.55529,19117.25348,0.944740168,5.54378,NA,NA,NA,NA,NA,NA
1989,277,1065.710836,14035,2.734108527,11098.75652,27551.64002,-0.496216829,5.8576083,NA,NA,NA,NA,NA,NA
1990,202,1190.031754,3208,2.905208333,10741.50566,24526.51732,-0.467898875,4.5326767,NA,NA,NA,NA,NA,NA
1991,226,1235.32531,4411,3.274193548,9356.171908,52119.24566,-1.184832798,5.596885,NA,NA,NA,NA,NA,NA
1992,264,1049.790539,15639,2.306666667,6850.61406,13747.16056,0.370295371,6.5140643,NA,NA,NA,NA,NA,NA
1993,350,1276.416891,8421,3.359016393,12658.68524,19838.94043,0.402107501,5.604068,NA,NA,NA,NA,NA,NA
1994,500,1286.820613,17243,2.471755725,8169.888667,13371.22458,0.799043238,5.430218,NA,NA,NA,NA,NA,NA
1995,455,1165.840998,24461,1.953383459,7501.289585,15569.94259,-0.576366269,5.1159782,NA,NA,NA,NA,NA,NA
1996,435,1240.359435,4812,3.779230769,4707.076873,15073.39108,0.68958037,6.9278274,NA,NA,NA,NA,NA,NA
1997,208,1906.107876,15639,2.847407407,11860.91843,27403.15339,0.468549668,4.620138,NA,NA,NA,NA,NA,NA
1998,245,1252.744997,0,3.835384615,21632.63505,19409.20281,1.386333543,5.627217,0.9056836,NA,NA,NA,NA,NA
1999,222,1136.252574,41704,1.217197452,11553.79609,30004.5222,-0.334337434,5.6825624,1.3210937,NA,NA,NA,NA,NA
2000,184,1386.180637,23258,2.58013245,11106.43517,22090.03573,-1.120636406,5.955328,1.6256533,-0.0134,NA,5781.016431,5.781016431,NA
2001,299,1371.380355,4812,3.304477612,6067.722262,15360.35731,0.338395511,5.180389,1.6068652,0.0416,NA,4603.456991,4.603456991,NA
2002,168,1554.064258,802,3.571111111,13009.83508,25241.06478,-0.561840427,5.3527274,1.5692265,NA,3511,3507.89582,3.50789582,NA
2003,210,1259.21713,802,4.066165414,14874.97631,51114.70104,1.550534154,5.9838796,1.5800278,NA,5865,5858.698379,5.858698379,NA
2004,156,1553.327611,0,3.77238806,18587.50682,53895.09252,0.102060608,5.49257,1.9175584,NA,6187,6181.005412,6.181005412,NA
2005,135,1353.461727,0,4.284615385,14562.94885,28373.47094,0.00396909,5.7402186,2.0962777,NA,3296,3292.692488,3.292692488,NA
2006,118,1347.432834,18446,2.74601227,10516.24454,32148.23626,-0.083948674,5.0170097,1.1593533,-0.0127,7993,7985.484703,7.985484703,NA
2007,110,1293.764467,28471,2.339285714,14081.57131,34225.78378,-0.300548853,5.6662564,1.6109686,-0.0323,19770,19749.87787,19.74987787,0.197
2008,109,1204.164426,37293,1.986904762,21805.92481,38155.38631,-0.852480107,4.980064,2.2333999,0.000657,11530,11518.33561,11.51833561,0.21
2009,158,1134.075806,34887,2.000595238,16796.49998,21996.19106,-1.280428432,5.5240746,2.0043223,0.00243,10987,10976.13205,10.97613205,0.195
2010,381,1339.007261,26867,2.193670886,11463.72493,24890.83486,0.040686203,6.2406397,2.2024074,-0.00134,10022,10012.32068,10.01232068,0.204
2011,371,1607.163316,9223,3.231410256,7197.509361,16621.85114,-1.061802849,6.4215493,1.9386663,-0.013,4769,4764.116613,4.764116613,NA
2012,314,1719.223205,39298,1.54,6680.150839,19858.11747,-1.585686162,5.989646,1.7809626,-0.0186,2959,2955.945829,2.955945829,0.192
2013,328,1886.150801,22456,2.374264706,8300.244519,28358.48421,-0.910625172,5.089838,1.7933309,0.0258,3802,3797.987957,3.797987957,NA
2014,360,1505.279677,401,4.148529412,15671.50677,36129.91537,-0.374687055,6.553601,1.6812049,NA,4616,4611.486287,4.611486287,0.206
2015,386,1485.984478,0,4.490441176,7109.140418,27209.2988,1.642540186,6.575663,1.6530921,0.0333,4863,4858.237434,4.858237434,NA
2016,612,2512.017787,0,5.488235294,3932.646842,22423.98077,1.125774493,6.5233936,1.4484148,NA,2126,2123.405832,2.123405832,0.213
2017,202,1527.208302,18446,3.112820513,2857.304281,20841.59979,0.815282073,5.662186,1.2686149,-0.0103,NA,4449.313694,4.449313694,NA
2018,171,976.948721,0,4.613235294,2321.674062,12010.12192,0.141950367,6.3065424,1.1584253,NA,NA,5275.71466,5.27571466,NA
2019,167,1098.970245,0,5.105147059,4767.52523,8964.723069,0.228395381,6.1413784,NA,0.0327,NA,2807.751302,2.807751302,NA
